tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
170,3,1,1.236,7,6,0.0538
171,3,1,1.236,7,6,0.04254
172,3,1,1.236,7,6,0.02824
173,3,1,1.236,7,6,0.02278
174,2,1,0.818,7,7,0.02769
175,2,1,0.818,7,7,0.02353
176,2,1,0.818,7,7,0.02174
177,2,2,0.818,7,7,0.01739
178,2,1,0.818,7,7,0.01395
179,1,1,0.367,7,8,0.02517
180,1,1,0.367,7,8,0.02012
181,1,1,0.367,7,8,0.01618
182,1,1,0.367,7,8,0.01456
183,1,1,0.367,7,8,0.01161
184,1,1,0.367,7,8,0.00941
185,1,1,0.367,7,8,0.00842
186,1,1,0.367,7,8,0.00669
187,1,1,0.367,7,8,0.00547
188,1,1,0.367,7,8,0.00487
189,1,1,0.367,7,8,0.10755
190,1,1,0.367,7,8,0.11041
191,1,1,0.367,7,8,0.08877
192,1,1,0.367,7,8,0.06123
193,2,1,0.367,8,8,0.02338
194,2,1,0.785,8,8,0.01866
195,2,1,0.785,8,8,0.01698
196,2,1,0.785,8,8,0.01492
197,2,1,0.785,8,8,0.01185
198,2,1,0.785,8,8,0.01004
199,2,1,0.785,8,8,0.00862
200,2,1,0.785,8,8,0.0069
201,2,1,0.785,8,8,0.00577
202,2,2,0.785,8,8,0.00493
203,2,2,0.785,8,8,0.00395
204,2,2,0.785,8,8,0.00329
205,2,2,0.785,8,8,0.00281
206,2,2,0.785,8,8,0.00225
207,2,2,0.785,8,8,0.00189
208,2,3,0.785,8,8,0.0016
209,2,3,0.785,8,8,0.03672
210,2,3,0.785,8,8,0.03669
211,2,3,0.785,8,8,0.03033
212,3,2,0.785,9,8,0.01445
213,3,3,1.236,9,8,0.01026
214,3,3,1.236,9,8,0.00821
215,2,3,0.818,9,9,0.0126
216,2,3,0.818,9,9,0.01047
217,2,3,0.818,9,9,0.00835
218,2,3,0.818,9,9,0.00753
219,2,3,0.818,9,9,0.00605
220,2,3,0.818,9,9,0.00486
221,2,2,0.818,9,9,0.00433
222,2,3,0.818,9,9,0.00346
223,2,3,0.818,9,9,0.00279
224,3,2,0.818,10,9,0.00164
225,3,2,1.236,10,9,0.00131
226,3,2,1.236,10,9,0.00107
227,3,2,1.236,10,9,0.00093
228,3,2,1.236,10,9,0.00075
229,3,2,1.236,10,9,0.01735
230,3,2,1.236,10,9,0.01743
231,3,2,1.236,10,9,0.01444
232,3,2,1.236,10,9,0.01046
233,3,2,1.236,10,9,0.00728
234,2,2,0.785,10,10,0.00882
235,2,2,0.785,10,10,0.00902
236,2,1,0.785,10,10,0.00744
237,2,1,0.785,10,10,0.00596
238,2,2,0.785,10,10,0.0054
239,2,2,0.785,10,10,0.0043
240,2,2,0.785,10,10,0.00346
241,2,2,0.785,10,10,0.00311
242,3,1,0.785,11,10,0.00164
243,3,2,1.236,11,10,0.00132
244,3,2,1.236,11,10,0.06326
245,3,2,1.236,11,10,0.05426
246,2,2,0.818,11,11,0.06607
247,2,2,0.818,11,11,0.05594
248,2,2,0.818,11,11,0.04686
249,2,2,0.818,11,11,0.03282
250,2,2,0.818,11,11,0.0257
251,2,1,0.818,11,11,0.0208
252,2,1,0.818,11,11,0.01987
253,2,1,0.818,11,11,0.01775
254,2,1,0.818,11,11,0.01455
255,2,1,0.818,11,11,0.01237
256,2,2,0.818,11,11,0.01046
257,2,2,0.818,11,11,0.00835
258,2,2,0.818,11,11,0.00712
259,2,2,0.818,11,11,0.00602
260,2,2,0.818,11,11,0.00481
261,3,2,0.818,12,11,0.00271
262,3,2,1.236,12,11,0.00231
263,3,2,1.236,12,11,0.00186
264,2,2,0.785,12,12,0.066
265,2,2,0.785,12,12,0.05534
266,2,3,0.785,12,12,0.04618
267,2,3,0.785,12,12,0.04027
268,2,3,0.785,12,12,0.03195
269,2,3,0.785,12,12,0.02364
270,2,2,0.785,12,12,0.01808
271,2,2,0.785,12,12,0.01472
272,2,2,0.785,12,12,0.01414
273,2,2,0.785,12,12,0.0126
274,2,2,0.785,12,12,0.0101
275,2,3,0.785,12,12,0.00892
276,2,3,0.785,12,12,0.00741
277,2,3,0.785,12,12,0.00581
